,ratings,comments
224,6,과연 이 영화가 역대 흥행 2위를 기록할만한 수준인가 싶음 영화야 웃기려고 만든 영화인걸 알겠는데 그 개그가 나에게는 너무 유치했다는 그냥 어이가 없었다고 하면 될듯 서로 제 마누랍니다라고 할때가 젤 웃겼음 너무 큰 기대를 하지 말고 봤으면 좋았을텐데 
225,10,이렇게 웃긴 영화 정말 오랫만이네요. 
226,9,
227,8,
228,2,영화 평점 처음 남겨보는 데 진짜 최악의 영화다 
229,10,웃다가 죽을뻔 했슈 ㅜㅜ
230,10,극장에서 못봐서 미안하고 억울하다...요새 사정이....
231,10,
232,9,굿 웃기다 ㅋ
233,9,재밌네
234,10,이렇게 완성도 높은 코미디영화가 나올 줄 전혀 예상 못했다. 냉소했던 반응을 한 내가 반성이 될 정도
235,2,이런 클리셰 범벅을 어떻게 그렇게 많은 사람들이 좋다고 본 건지 이해가 되지를 않는다. 돈이 썩어나나...
236,5,그냥 투캅스였다. 이게 1천6백만원 본건 그냥 행운이다.
237,1,이게 1600만명이 본 히트 영화라고? 참 어이가 없네. B급 쓰레기. 도대체가 개연성도 없고.... tvn  jtbc  드라마에 발톱에도 못끼는 영화 에휴~~~
238,10,최고의  코믹영화 또  보고싶네
239,5,그저그런 삐급
240,10,최고
241,1,"1점도 아깝다 억지 웃음,  억지 드립.... 정말 해도해도 너무하네 수준이하의 영화에 어떻게 이런 인기가 있었는지 이해불가인 영화"
242,10,집에서 친구 들이랑 봤는데 빵 터졌어요 ㅋㅋㅋ 재밌게 봤습니당
243,7,소문만큼 재미있진 않더라
244,9,재밌게 잘 봤습니다
245,6,언제나 유쾌한 이병헌 영화~류승룡은 이런영화가 딱!맞다!~
246,7,"초/중/후 다 재밌어요. 코미디 코드로 웃기기도 하고. 하지만 마지막 15분정도 피터지게 싸우는데, 눈쌀 찌푸려지더군요. 70~80년대부터 해온 아니 더 이전부터 해온 그런 뻔한 마무리는 지양해야 되지 않을까 생각되네요. 영화""존윅""에서도 1:1로 마지막에 싸우는 장면이 있는데, 그건 끝까지 재밌다는 생각이 들더군요. 코드차이라서 그건 변명같고, 만약 그 15분동안 싸싸싹 멋잇는 연출만하고, 주맴버 5명의 특기를 말하는 부분을 자세히 그렸으면 어땟을까. 부적을 사용하게 된 계기라든지. 그랬으면 어땠을까. 아니면 생각하면 더 다른 장면도 추가 할 수 있을꺼라 생각되는데요. 15세 관람가인데, 뉴스에도 좋지않은 조폭따라하는 어린조직같은 것도 있는데. 가족영화라면 좀 그 현재 15분 장면은 아니라고 생각됩니다."
247,8,
248,10,
249,1,이런 영화가 히트하다니..그저 놀랍다.
250,9,
251,4,스토리랑 흐름같은 건  괜춘한데 코미디 장르임에도 불구하고 노잼 드립이 난무한다... 그래서 걍 반타작시켜드림.
252,1,마케팅에 성공한영화. 극장에서 보기엔 돈 아까운영화. 집에서 볼때도 빨리감기로 보게 됨.
253,10,
254,8,"신하균, 오정세 너무 웃겼어요. 기대 안하고 봤는데 생각보다 재밌어서 깜놀. 한국영화치고 이정도면 상당히 괜챦은 코미디 영화인데. 유치한 부분도 있지만 소재 신선, 배우들의 연기도 좋고."
255,10,와 이거 ㄹㅇ 멍때리고 이입하다 빵터지고ㅠㅜ ㄹㅇ 존잼 한국영화 잘 안보는데 이거보고 생각바꿈
256,7,유쾌하다
257,10,
258,5,솔직히 이정도로 성공할 영화는아님
259,6,천육백만명이 봤다는것이 더놀랍다.
